"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","282 272 780"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","149 879 092"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","186 080 332"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","181 765 111"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","131 320 324"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","142 889 984"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","258 892 355"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","146 028 047"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","161 984 609"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","193 605 021"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","165 552 756"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","126 951 924"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 127 222 335"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","186 816 410"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","177 093 556"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","205 565 800"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","361 626 129"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","226 630 229"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","265 181 613"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","339 791 506"
"Jan. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","6 852 118"
"Feb. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","4 821 530"
"Mar. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","8 581 904"
"Apr. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","5 308 265"
"May. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","3 070 118"
"Jun. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","4 766 743"
"Jul. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","7 674 287"
"Aug. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","5 181 846"
"Sep. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","5 183 659"
"Oct. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","6 132 236"
"Nov. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","4 792 476"
"Dec. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","4 167 141"
"Jan.-Dec. 2020","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","66 532 323"
"Jan. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","5 960 722"
"Feb. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","4 460 838"
"Mar. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","6 603 774"
"Apr. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","8 538 496"
"May. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","7 986 356"
"Jun. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","8 941 471"
"Jul. 2021","Bulgaria","India","Total","IMPORT","Sea","VALUE_IN_EUROS","16 889 158"
"Jan. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","57 505"
"Feb. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","24 142"
"Mar. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","28 423"
"Apr. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","10 156"
"May. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 026"
"Jun. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jul. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 585"
"Aug. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","50 654"
"Sep. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","151 474"
"Oct. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","87 795"
"Nov. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","68 571"
"Dec. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","3 613"
"Jan.-Dec. 2020","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","486 944"
"Jan. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","62 399"
"Feb. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","96 907"
"Mar. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","220 369"
"Apr. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","326 546"
"May. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jun. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","236 567"
"Jul. 2021","Czechia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","29 300"
"Jan. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","33 871 403"
"Feb. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","29 109 890"
"Mar. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","29 418 532"
"Apr. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","32 845 117"
"May. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","10 767 000"
"Jun. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","13 194 278"
"Jul. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","24 089 677"
"Aug. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","28 180 605"
"Sep. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","33 938 532"
"Oct. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","34 239 236"
"Nov. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","24 367 068"
"Dec. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","23 126 713"
"Jan.-Dec. 2020","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","317 148 051"
"Jan. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","38 719 598"
"Feb. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","37 847 883"
"Mar. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","36 221 225"
"Apr. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","38 511 187"
"May. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","39 535 439"
"Jun. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","42 201 538"
"Jul. 2021","Denmark","India","Total","IMPORT","Sea","VALUE_IN_EUROS","36 651 141"
"Jan. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","586 515 662"
"Feb. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","390 420 722"
"Mar. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","511 306 553"
"Apr. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","424 989 218"
"May. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","168 467 321"
"Jun. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","280 253 349"
"Jul. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","420 892 072"
"Aug. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","402 251 176"
"Sep. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","438 817 996"
"Oct. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","467 179 453"
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","396 014 630"
"Dec. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","332 503 731"
"Jan.-Dec. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","4 819 611 883"
"Jan. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","452 894 695"
"Feb. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","501 434 522"
"Mar. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","485 688 660"
"Apr. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","578 773 870"
"May. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","490 342 369"
"Jun. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","454 426 261"
"Jul. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","India","Total","IMPORT","Sea","VALUE_IN_EUROS","527 729 085"
"Jan. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 582 448"
"Feb. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 456 652"
"Mar. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 495 579"
"Apr. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 024 178"
"May. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","984 178"
"Jun. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 481 717"
"Jul. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 924 879"
"Aug. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 448 471"
"Sep. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 762 364"
"Oct. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 859 623"
"Nov. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 531 192"
"Dec. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 207 070"
"Jan.-Dec. 2020","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","21 758 351"
"Jan. 2021","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 029 731"
"Feb. 2021","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 823 990"
"Mar. 2021","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 561 099"
"Apr. 2021","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","1 976 061"
"May. 2021","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","3 291 251"
"Jun. 2021","Estonia","India","Total","IMPORT","Sea","VALUE_IN_EUROS","2 583 013"
