"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","149 510 436"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","179 499 530"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","167 034 866"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","101 910 700"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","95 002 935"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","133 385 344"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","166 094 741"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","161 020 512"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","171 248 229"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","190 338 292"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","156 956 411"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","252 149 318"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 924 151 314"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","182 130 205"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","174 621 721"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","194 820 521"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","186 896 206"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","160 497 571"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","183 291 159"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","210 014 334"
"Jan. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 820 202"
"Feb. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 745 845"
"Mar. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 891 952"
"Apr. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 715 952"
"May. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 130 613"
"Jun. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 073 497"
"Jul. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 958 769"
"Aug. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 475 344"
"Sep. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 540 074"
"Oct. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 900 485"
"Nov. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","976 488"
"Dec. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 688 581"
"Jan.-Dec. 2020","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","23 917 802"
"Jan. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 503 199"
"Feb. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","3 392 377"
"Mar. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 513 668"
"Apr. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","2 526 382"
"May. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 917 332"
"Jun. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","1 792 816"
"Jul. 2021","Bulgaria","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","974 284"
"Jan. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","14 727 152"
"Feb. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","13 701 632"
"Mar. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","20 402 256"
"Apr. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","9 898 024"
"May. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","12 010 304"
"Jun. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","11 059 613"
"Jul. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","11 667 172"
"Aug. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","14 719 287"
"Sep. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","16 955 506"
"Oct. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","16 499 834"
"Nov. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","17 960 857"
"Dec. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","17 336 350"
"Jan.-Dec. 2020","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","176 937 987"
"Jan. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","15 089 110"
"Feb. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","16 976 210"
"Mar. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","16 769 982"
"Apr. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","15 959 435"
"May. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","16 705 525"
"Jun. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","18 652 550"
"Jul. 2021","Czechia","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","18 203 606"
"Jan. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","47 636 337"
"Feb. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","47 097 438"
"Mar. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","49 464 725"
"Apr. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","43 891 005"
"May. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","32 299 525"
"Jun. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","37 171 828"
"Jul. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","52 668 119"
"Aug. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","19 471 738"
"Sep. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","36 773 464"
"Oct. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","31 884 684"
"Nov. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","35 385 452"
"Dec. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","53 465 198"
"Jan.-Dec. 2020","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","487 209 513"
"Jan. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","27 861 578"
"Feb. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","47 345 778"
"Mar. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","42 875 392"
"Apr. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","31 414 523"
"May. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","25 698 126"
"Jun. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","41 499 450"
"Jul. 2021","Denmark","Brazil","Total","EXPORT","Sea","VALUE_IN_EUROS","56 218 052"
