"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","148 915 468"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","107 669 229"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","140 782 701"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","187 592 095"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","137 474 901"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","116 743 017"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","123 738 685"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","100 693 723"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","110 991 411"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","82 586 047"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","104 697 811"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","106 425 077"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","1 468 310 165"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","100 398 814"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","127 922 327"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","142 833 873"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","143 885 655"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","147 364 820"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","146 260 556"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","168 189 244"
"Jan. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","1 166 184"
"Feb. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","995 114"
"Mar. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","1 562 188"
"Apr. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","931 847"
"May. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","668 131"
"Jun. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","1 308 353"
"Jul. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","288 022"
"Aug. 2020","Bulgaria","Brazil","Total","IMPORT","Sea","VALUE_IN_EUROS","37 745 833"
