"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","423 102 056"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","356 754 067"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","330 186 284"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","425 074 024"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","455 338 848"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","442 187 879"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","384 172 431"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","305 983 850"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","427 978 327"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","439 731 072"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","367 221 101"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","428 366 375"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","4 786 096 314"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","390 074 506"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","298 475 974"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","439 580 976"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","379 254 521"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","339 313 819"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","391 215 600"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","EXPORT","Sea","VALUE_IN_EUROS","331 074 379"
"Jan. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","80 344 093"
"Feb. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","40 848 730"
"Mar. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","60 392 579"
"Apr. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","64 589 010"
"May. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","64 747 575"
"Jun. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","75 665 760"
"Jul. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","83 825 405"
"Aug. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","57 478 711"
"Sep. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","91 413 451"
"Oct. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","52 597 378"
"Nov. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","51 311 177"
"Dec. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","97 818 183"
"Jan.-Dec. 2020","Bulgaria","China","Total","EXPORT","Sea","VALUE_IN_EUROS","821 032 052"
