"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 139 498 790"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","941 370 896"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","663 847 355"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","758 362 347"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","769 891 290"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 019 287 122"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 163 109 659"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 047 378 384"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 091 680 637"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 108 219 305"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","909 373 418"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","991 098 291"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","11 603 117 494"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 075 949 512"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","974 033 424"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 253 379 132"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 068 068 767"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 234 344 156"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 348 271 657"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","China","Total","IMPORT","Sea","VALUE_IN_EUROS","1 062 855 199"
"Jan. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","98 468 911"
"Feb. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","88 968 908"
"Mar. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","58 198 926"
"Apr. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","51 212 341"
"May. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","82 978 111"
"Jun. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","83 135 553"
"Jul. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","89 685 668"
"Aug. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","83 304 952"
"Sep. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","85 493 724"
"Oct. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","85 484 921"
"Nov. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","80 870 613"
"Dec. 2020","Bulgaria","China","Total","IMPORT","Sea","VALUE_IN_EUROS","86 417 838"
