"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","88 228 123"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","106 731 022"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","113 161 294"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","68 183 819"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","47 215 621"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","70 319 015"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","70 915 898"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","72 091 389"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","84 491 512"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","126 170 899"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","91 354 623"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","109 269 832"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","1 048 133 047"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","105 669 262"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","102 018 129"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","128 803 694"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","91 206 275"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","75 335 806"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","115 709 867"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","India","Total","EXPORT","Sea","VALUE_IN_EUROS","76 636 940"
"Jan. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","5 688 806"
"Feb. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","5 183 319"
"Mar. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 614 169"
"Apr. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","2 113 385"
"May. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","1 492 366"
"Jun. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","6 541 764"
"Jul. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","3 573 056"
"Aug. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","8 009 027"
"Sep. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","15 825 785"
"Oct. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 954 594"
"Nov. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","5 039 932"
"Dec. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 609 465"
"Jan.-Dec. 2020","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","67 645 668"
"Jan. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 361 735"
"Feb. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","7 937 079"
"Mar. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 606 299"
"Apr. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","7 639 404"
"May. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","12 063 218"
"Jun. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 422 663"
"Jul. 2021","Bulgaria","India","Total","EXPORT","Sea","VALUE_IN_EUROS","4 383 851"
"Jan. 2020","Czechia","India","Total","EXPORT","Sea","VALUE_IN_EUROS","23 236 109"
"Feb. 2020","Czechia","India","Total","EXPORT","Sea","VALUE_IN_EUROS","21 843 326"
