"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","86 865 298"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","83 810 902"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","104 239 740"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","79 371 248"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","88 472 262"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","83 401 353"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","85 715 422"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","63 201 615"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","66 813 491"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","76 366 206"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","80 668 984"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","72 570 891"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","971 497 412"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","74 252 983"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","72 080 004"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","95 420 135"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","115 677 023"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","89 104 508"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","89 714 968"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","99 124 518"
"Jan. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 722 069"
"Feb. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 554 056"
"Mar. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 769 561"
"Apr. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","925 378"
"May. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 030 015"
"Jun. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 403 885"
"Jul. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 306 466"
"Aug. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","820 178"
"Sep. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 017 740"
"Oct. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","927 518"
"Nov. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 197 286"
"Dec. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 536 807"
"Jan.-Dec. 2020","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","19 210 959"
"Jan. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 005 027"
"Feb. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 227 335"
"Mar. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","4 079 873"
"Apr. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 649 472"
"May. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","830 349"
"Jun. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 243 657"
"Jul. 2021","Bulgaria","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","3 569 764"
"Jan. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","5 924 646"
"Feb. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 793 085"
"Mar. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 609 503"
"Apr. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 265 017"
"May. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 919 820"
"Jun. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","4 312 523"
"Jul. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","3 872 684"
"Aug. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","5 665 987"
"Sep. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 509 639"
"Oct. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","3 312 636"
"Nov. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","3 291 470"
"Dec. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","4 034 740"
"Jan.-Dec. 2020","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","43 511 750"
"Jan. 2021","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 920 978"
"Feb. 2021","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 798 747"
"Mar. 2021","Czechia","Russian Federation (Russia)","Total","EXPORT","Sea","VALUE_IN_EUROS","3 047 907"
