"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","744 928 637"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","442 229 811"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","527 816 667"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","363 320 347"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","251 107 799"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","273 886 112"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","235 569 229"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","206 382 458"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","277 166 932"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","322 329 568"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","317 258 358"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","287 381 994"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","4 249 377 912"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","332 669 142"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","280 464 289"
