"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","65 715 266"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","93 747 554"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","82 545 319"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","50 717 302"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","43 157 949"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","48 121 727"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","55 502 224"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","61 251 443"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","79 017 630"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","55 855 921"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","95 491 054"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","93 460 270"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","824 583 659"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","62 468 744"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","60 071 647"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","104 830 171"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","85 836 191"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","63 475 985"
