"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","133 514 666"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","107 200 826"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","187 491 481"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","259 027 793"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","82 585 664"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","84 030 296"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","159 485 415"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","126 332 016"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","128 170 102"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","223 608 012"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","193 871 385"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","292 228 892"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","1 977 546 548"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","79 749 435"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","107 397 227"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","243 183 059"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","234 334 165"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","286 154 615"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","203 675 326"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","156 911 496"
"Jan. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","4 322 316"
"Feb. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","1 598 770"
"Mar. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","687 310"
"Apr. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 979 230"
"May. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","386 033"
"Jun. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","1 338 944"
"Jul. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 004 277"
"Aug. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","1 723 612"
"Sep. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","1 719 200"
"Oct. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 684 108"
"Nov. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 168 816"
"Dec. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","399 939"
"Jan.-Dec. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","22 012 555"
"Jan. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","593 486"
"Feb. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","954 014"
"Mar. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 598 319"
"Apr. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","3 840 931"
"May. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 932 028"
