"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","720 757 300"
"Feb. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","735 372 057"
"Mar. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","866 391 416"
"Apr. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","718 953 632"
"May. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","577 093 449"
"Jun. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","663 025 217"
"Jul. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","861 805 022"
"Aug. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","624 003 547"
"Sep. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","801 418 340"
"Oct. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","794 633 675"
"Nov. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","983 967 825"
"Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","759 278 368"
"Jan.-Dec. 2020","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","9 106 699 848"
"Jan. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","928 967 661"
"Feb. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","980 565 395"
"Mar. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 056 664 358"
"Apr. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","885 051 576"
"May. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 011 033 765"
"Jun. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","904 654 842"
"Jul. 2021","Belgium (incl. Luxembourg 'LU' -> 1998)","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","873 913 767"
"Jan. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","29 599 235"
"Feb. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","23 056 042"
"Mar. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","31 998 736"
"Apr. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","24 998 324"
"May. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","27 605 478"
"Jun. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","22 772 424"
"Jul. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","23 926 433"
"Aug. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","22 800 534"
"Sep. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","27 125 982"
"Oct. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","25 981 096"
"Nov. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","27 514 741"
"Dec. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","27 602 584"
"Jan.-Dec. 2020","Bulgaria","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)","Total","EXPORT","Sea","VALUE_IN_EUROS","314 981 609"
